CS01012021,T_SEC_NL,ZONENUMMER,STGB,NIS_GEM_L
62051C000,LIERS-CENTRE,"3684","2",62051 HERSTAL
62051C010,LIERS-GARE,"3684","2",62051 HERSTAL
62051C0PN,CAMPAGNES DE LIERS,"3684","2",62051 HERSTAL
62051C19-,AUTOROUTE EST,"3684","2",62051 HERSTAL
62051D00-,MILMORT-CENTRE,"3685","2",62051 HERSTAL
62051D01-,HAUT-SARTS,"3685","2",62051 HERSTAL
"62051D020",VIGNERETTE - TILLEUL,"3685","2",62051 HERSTAL
62051D08-,SUR LA NAYLE,"3685","2",62051 HERSTAL
62051D09-,CHALVAUX,"3685","2",62051 HERSTAL
62051D11-,HARENG,"3685","2",62051 HERSTAL
6206010PQ,TIERS DE VILLERS,"3689","2",62060 JUPRELLE
62060A00-,JUPRELLE-CENTRE,"3686","2",62060 JUPRELLE
62060A01-,CHAUSSEE BRUNEHAUT,"3686","2",62060 JUPRELLE
62060A02-,JUPRELLE - CHAUSSEE DE TONGRES,"3686","2",62060 JUPRELLE
62060A082,LA HOLLANDE,"3686","2",62060 JUPRELLE
62060A091,JUPRELLE - HABITATIONS DISP.,"3686","2",62060 JUPRELLE
62060A092,MALAHE,"3686","2",62060 JUPRELLE
62060B00-,SLINS-CENTRE,"3687","2",62060 JUPRELLE
62060B09-,SLINS - HABITATIONS DISPERSEES,"3687","2",62060 JUPRELLE
62060C00-,FEXHE-SLINS-CENTRE,"3688","2",62060 JUPRELLE
62060C012,VALLEE,"3688","2",62060 JUPRELLE
62060C091,FEXHE-SLINS-HABITATIONS DISP.,"3688","2",62060 JUPRELLE
62060C11-,TILLICE-CENTRE,"3688","2",62060 JUPRELLE
62060C19-,TILLICE-HABITATIONS DISPERSEES,"3688","2",62060 JUPRELLE
62060C210,ANIXHE-CENTRE,"3688","2",62060 JUPRELLE
62060C220,LA BOURSE,"3688","2",62060 JUPRELLE
62060C280,LA BOURSE - HABITATIONS DISP.,"3688","2",62060 JUPRELLE
62060C290,ANIXHE-HABITATIONS DISPERSEES,"3688","2",62060 JUPRELLE
62060D00-,VILLERS-SAINT-SIMEON-CENTRE,"3690","2",62060 JUPRELLE
62060D09-,VILLERS-SAINT-SIMEON-HAB.DISP.,"3690","2",62060 JUPRELLE
"62060E001",VOROUX-LEZ-LIERS-CENTRE,"3691","2",62060 JUPRELLE
"62060E012",TRICO,"3691","2",62060 JUPRELLE
62060E02-,VOROUX-CHAUSSEE DE TONGRES,"3691","2",62060 JUPRELLE
"62060E091",VOROUX-LEZ-LIERS - HAB. DISP.,"3691","2",62060 JUPRELLE
62060F00-,LANTIN-CENTRE,"3692","2",62060 JUPRELLE
62060F012,LE FAYS,"3692","2",62060 JUPRELLE
62060F020,LANTIN - CHAUSSEE DE TONGRES,"3692","2",62060 JUPRELLE
62060F091,LANTIN-HABITATIONS DISPERSEES,"3692","2",62060 JUPRELLE
62060G00-,WIHOGNE-CENTRE,"3693","2",62060 JUPRELLE
62060G01-,WIHOGNE - CHAUSSEE,"3693","2",62060 JUPRELLE
62060G02-,WIHOGNE-CENTRE EST,"3693","2",62060 JUPRELLE
62060G032,FOND DE WIHOGNE,"3693","2",62060 JUPRELLE
62060G091,WIHOGNE-HABITATIONS DISPERSEES,"3693","2",62060 JUPRELLE
62060H00-,PAIFVE-CENTRE,"3694","2",62060 JUPRELLE
62060H01-,CHAUSSEE BRUNEHAUT,"3694","2",62060 JUPRELLE
62060H09-,PAIFVE-HABITATIONS DISPERSEES,"3694","2",62060 JUPRELLE
62063A00-,SAINT-LAMBERT,"3946","3",62063 LIEGE
62063A01-,FERONSTREE,"3946","3",62063 LIEGE
62063A02-,PIERREUSE,"3946","3",62063 LIEGE
62063A03-,SAINT-JEAN,"3947","3",62063 LIEGE
62063A04-,CATHEDRALE,"3947","3",62063 LIEGE
62063A05-,SAINT-JACQUES,"3947","3",62063 LIEGE
62063A101,SAINT-CHRISTOPHE,"3947","3",62063 LIEGE
62063A112,DARCHIS,"3947","3",62063 LIEGE
62063A20-,SAINT-MAUR,"3947","3",62063 LIEGE
62063A21-,VAL-BENOIT,"3947","3",62063 LIEGE
62063A22-,LAURIERS-TAMARIS,"3947","3",62063 LIEGE
62063A232,BOIS-L'EVEQUE,"3947","3",62063 LIEGE
62063A30-,SAINTE-MARIE,"3947","3",62063 LIEGE
62063A31-,TERRASSES,"3947","3",62063 LIEGE
62063A32-,PARADIS,"3947","3",62063 LIEGE
62063A331,FRAGNEE,"3947","3",62063 LIEGE
62063A342,ROME,"3947","3",62063 LIEGE
62063A401,LAVEU,"3947","3",62063 LIEGE
62063A41-,FAILLE-ANDRIMONT,"3947","3",62063 LIEGE
62063A50-,SAINTE-MARGUERITE,"3946","3",62063 LIEGE
62063A51-,SAINT-MARTIN,"3947","3",62063 LIEGE
62063A520,BIDAUT,"3947","3",62063 LIEGE
62063A53-,BAGOLET,"3947","3",62063 LIEGE
62063A540,DELIN-HESBAYE,"3947","3",62063 LIEGE
