osmid,landuse,ZONENUMMER,STGB,NIS_GEM,NIS_GEM_L,VREGIO,VREGIO_L,Area_calc
"103067338",residential,"1480","1","24062",24062 LEUVEN,"7",LEUVEN,0.00239670531645417
"103067339",residential,"1480","1","24062",24062 LEUVEN,"7",LEUVEN,0.00404652982255816
"103067340",residential,"1480","1","24062",24062 LEUVEN,"7",LEUVEN,0.00857580733797699
"103429000",residential,"1469","1","24062",24062 LEUVEN,"7",LEUVEN,0.00240265932360978
"105447679",commercial,"1498","1","24062",24062 LEUVEN,"7",LEUVEN,0.0035771170054283
"105525493",recreation_ground,"1469","1","24062",24062 LEUVEN,"7",LEUVEN,0.0012694383902573
"106335990",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.0303078219345799
"106335991",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.0290332550596699
"106335991",industrial,"1500","1","24062",24062 LEUVEN,"7",LEUVEN,4.22546586953104e-05
"106335993",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.0116931991689
"106343836",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.0152818145392332
"106346023",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.00435874218869209
"106362184",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.0182628391329348
"106362186",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.0109907087764712
"106362186",industrial,"1500","1","24062",24062 LEUVEN,"7",LEUVEN,0.000660145527724177
"106388264",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.104147928411631
"106388270",industrial,"1499","1","24062",24062 LEUVEN,"7",LEUVEN,0.0352486048121443
"106446190",commercial,"1500","1","24062",24062 LEUVEN,"7",LEUVEN,0.00259092431800859
"106446192",commercial,"1500","1","24062",24062 LEUVEN,"7",LEUVEN,0.00449561177019402
"106446196",commercial,"1500","1","24062",24062 LEUVEN,"7",LEUVEN,0.00986496404089033
"106446199",commercial,"1500","1","24062",24062 LEUVEN,"7",LEUVEN,0.00178897515733307
"106446200",commercial,"1500","1","24062",24062 LEUVEN,"7",LEUVEN,0.00472377977865562
"106446211",commercial,"1500","1","24062",24062 LEUVEN,"7",LEUVEN,0.00433276440695114
"106446212",commercial,"1500","1","24062",24062 LEUVEN,"7",LEUVEN,0.00770274777425081
"106446214",commercial,"1500","1","24062",24062 LEUVEN,"7",LEUVEN,0.00443912935124338
"106446216",commercial,"1500","1","24062",24062 LEUVEN,"7",LEUVEN,0.00430111004530452
"117656491",residential,"1474","1","24062",24062 LEUVEN,"7",LEUVEN,0.00388116717071933
"120144138",residential,"1497","1","24062",24062 LEUVEN,"7",LEUVEN,0.171119165809018
"124754552",recreation_ground,"1478","1","24062",24062 LEUVEN,"7",LEUVEN,0.00192701205195859
"125911865",residential,"1481","1","24062",24062 LEUVEN,"7",LEUVEN,0.000588298170196576
"126996770",residential,"1481","1","24062",24062 LEUVEN,"7",LEUVEN,0.0198330216858773
"126996770",residential,"1486","1","24062",24062 LEUVEN,"7",LEUVEN,0.120848387639659
"126996770",residential,"1497","1","24062",24062 LEUVEN,"7",LEUVEN,0.517180940590338
"127059046",residential,"1482","1","24062",24062 LEUVEN,"7",LEUVEN,0.0981654076922014
"127199494",residential,"1474","1","24062",24062 LEUVEN,"7",LEUVEN,0.15281807782461
"127207832",residential,"1477","1","24062",24062 LEUVEN,"7",LEUVEN,0.212891216941271
"127297502",residential,"1477","1","24062",24062 LEUVEN,"7",LEUVEN,0.00179002945454605
"127297502",residential,"1482","1","24062",24062 LEUVEN,"7",LEUVEN,0.0016040051279366
"127297695",residential,"1474","1","24062",24062 LEUVEN,"7",LEUVEN,0.0631580459892005
"127297697",residential,"1474","1","24062",24062 LEUVEN,"7",LEUVEN,0.049868523773605
"127298300",residential,"1477","1","24062",24062 LEUVEN,"7",LEUVEN,0.000135810853157192
"127298300",residential,"1483","1","24062",24062 LEUVEN,"7",LEUVEN,0.0947826277915165
"127298307",residential,"1477","1","24062",24062 LEUVEN,"7",LEUVEN,0.0538928561439188
"127298307",residential,"1482","1","24062",24062 LEUVEN,"7",LEUVEN,0.147531017401656
"127298307",residential,"1483","1","24062",24062 LEUVEN,"7",LEUVEN,0.0181912169384807
"127298312",residential,"1477","1","24062",24062 LEUVEN,"7",LEUVEN,0.223600175654715
"127298315",residential,"1477","1","24062",24062 LEUVEN,"7",LEUVEN,0.0203371966125593
"127326784",residential,"1477","1","24062",24062 LEUVEN,"7",LEUVEN,0.0941415087747392
"127326784",residential,"1482","1","24062",24062 LEUVEN,"7",LEUVEN,0.000382089424246922
"127326786",residential,"1477","1","24062",24062 LEUVEN,"7",LEUVEN,0.0209792691132911
"127385175",residential,"1482","1","24062",24062 LEUVEN,"7",LEUVEN,0.0432427699010568
"127388132",residential,"1482","1","24062",24062 LEUVEN,"7",LEUVEN,0.00736611704927869
"127388132",residential,"1483","1","24062",24062 LEUVEN,"7",LEUVEN,0.0366476773128714
"127477316",industrial,"1474","1","24062",24062 LEUVEN,"7",LEUVEN,0.00402417698350735
"127477327",residential,"1474","1","24062",24062 LEUVEN,"7",LEUVEN,0.00138828052173741
"127477332",industrial,"1474","1","24062",24062 LEUVEN,"7",LEUVEN,0.00283860704928264
"127477337",residential,"1474","1","24062",24062 LEUVEN,"7",LEUVEN,0.0303463449343783
"127478145",residential,"1474","1","24062",24062 LEUVEN,"7",LEUVEN,0.00042820843944326
"127507454",residential,"1483","1","24062",24062 LEUVEN,"7",LEUVEN,0.0201751380387098
"127601882",residential,"1477","1","24062",24062 LEUVEN,"7",LEUVEN,0.0680507436753958
"127601882",residential,"1483","1","24062",24062 LEUVEN,"7",LEUVEN,0.12756243716102
"130874438",recreation_ground,"1490","1","24062",24062 LEUVEN,"7",LEUVEN,0.0191459411446601
"135635304",industrial,"1466","1","24062",24062 LEUVEN,"7",LEUVEN,1.78940690597519e-05
"136263686",residential,"1474","1","24062",24062 LEUVEN,"7",LEUVEN,0.168194721428249
"136293560",residential,"1474","1","24062",24062 LEUVEN,"7",LEUVEN,0.00612738779628277
"137534565",residential,"1474","1","24062",24062 LEUVEN,"7",LEUVEN,0.000475318568749703
"137534565",residential,"1501","1","24062",24062 LEUVEN,"7",LEUVEN,0.114484712667212
"137570268",industrial,"1474","1","24062",24062 LEUVEN,"7",LEUVEN,0.00366166568995267
"138156831",residential,"1474","1","24062",24062 LEUVEN,"7",LEUVEN,0.0198398623889796
"138276343",industrial,"1501","1","24062",24062 LEUVEN,"7",LEUVEN,0.0129304033039808
"138601726",residential,"1478","1","24062",24062 LEUVEN,"7",LEUVEN,0.0196859809421413
"138601727",residential,"1478","1","24062",24062 LEUVEN,"7",LEUVEN,0.019931972848366
"138601729",residential,"1478","1","24062",24062 LEUVEN,"7",LEUVEN,0.0262110492265262
"138601731",residential,"1478","1","24062",24062 LEUVEN,"7",LEUVEN,0.0804013554799678
"138601734",residential,"1478","1","24062",24062 LEUVEN,"7",LEUVEN,0.00769219770098478
"138601923",residential,"1478","1","24062",24062 LEUVEN,"7",LEUVEN,0.00927979205131345
"138601923",residential,"1480","1","24062",24062 LEUVEN,"7",LEUVEN,0.0242943875004058
"138602377",residential,"1480","1","24062",24062 LEUVEN,"7",LEUVEN,0.0003660319784116
"138999576",residential,"1478","1","24062",24062 LEUVEN,"7",LEUVEN,1.64875454111025e-05
"138999576",residential,"1483","1","24062",24062 LEUVEN,"7",LEUVEN,0.000201726662764326
"138999577",residential,"1478","1","24062",24062 LEUVEN,"7",LEUVEN,7.76289474619552e-05
"138999577",residential,"1483","1","24062",24062 LEUVEN,"7",LEUVEN,0.00267879313766956
"138999578",residential,"1483","1","24062",24062 LEUVEN,"7",LEUVEN,0.0042786758005973
"139449111",residential,"1483","1","24062",24062 LEUVEN,"7",LEUVEN,0.0338492135983706
"139528817",residential,"1497","1","24062",24062 LEUVEN,"7",LEUVEN,0.0423895742535107
"139742815",residential,"1478","1","24062",24062 LEUVEN,"7",LEUVEN,0.0186508330094013
"139742818",residential,"1476","1","24062",24062 LEUVEN,"7",LEUVEN,0.011990336776292
"139742818",residential,"1478","1","24062",24062 LEUVEN,"7",LEUVEN,0.0147726485384405
"140047885",residential,"1480","1","24062",24062 LEUVEN,"7",LEUVEN,0.0904046302015036
"140597904",residential,"1497","1","24062",24062 LEUVEN,"7",LEUVEN,0.193649820428902
"140597907",residential,"1497","1","24062",24062 LEUVEN,"7",LEUVEN,0.00672757938285358
"142698065",residential,"1474","1","24062",24062 LEUVEN,"7",LEUVEN,0.0157618137595411
"142698075",residential,"1474","1","24062",24062 LEUVEN,"7",LEUVEN,0.00246027256928012
"146876273",residential,"1474","1","24062",24062 LEUVEN,"7",LEUVEN,0.00256839984181523
"150018303",residential,"1491","1","24062",24062 LEUVEN,"7",LEUVEN,0.127870133115078
"150018303",residential,"1493","1","24062",24062 LEUVEN,"7",LEUVEN,0.0111816583180279
"150018303",residential,"1494","1","24062",24062 LEUVEN,"7",LEUVEN,0.0010785525028538
"150105736",residential,"1491","1","24062",24062 LEUVEN,"7",LEUVEN,0.109627325578462
"150105736",residential,"1496","1","24062",24062 LEUVEN,"7",LEUVEN,0.0134673140199971
"150105737",residential,"1491","1","24062",24062 LEUVEN,"7",LEUVEN,0.00386840886291116
"151093768",residential,"1474","1","24062",24062 LEUVEN,"7",LEUVEN,0.0035994578948319
"153064860",residential,"1480","1","24062",24062 LEUVEN,"7",LEUVEN,0.00450953840520233
"153071330",residential,"1480","1","24062",24062 LEUVEN,"7",LEUVEN,0.0146849192537498
"155334560",residential,"1474","1","24062",24062 LEUVEN,"7",LEUVEN,0.00281522151019797
"156007645",residential,"1480","1","24062",24062 LEUVEN,"7",LEUVEN,0.0223882675100416
"156008294",residential,"1480","1","24062",24062 LEUVEN,"7",LEUVEN,0.0212823793241195
"156011417",residential,"1480","1","24062",24062 LEUVEN,"7",LEUVEN,0.0055680233928971
"156013096",residential,"1479","1","24062",24062 LEUVEN,"7",LEUVEN,0.00111963145408221
"156013096",residential,"1480","1","24062",24062 LEUVEN,"7",LEUVEN,0.198852568925967
"165630733",residential,"1501","1","24062",24062 LEUVEN,"7",LEUVEN,0.0768762976988555
"165630907",residential,"1501","1","24062",24062 LEUVEN,"7",LEUVEN,0.0973843703182666
"171139362",recreation_ground,"1471","1","24062",24062 LEUVEN,"7",LEUVEN,0.00240247207169328
"173271391",residential,"1497","1","24062",24062 LEUVEN,"7",LEUVEN,0.00371572909265757
"207522642",residential,"1497","1","24062",24062 LEUVEN,"7",LEUVEN,0.00288157459005713
"222343070",recreation_ground,"1478","1","24062",24062 LEUVEN,"7",LEUVEN,0.000668187796384096
"222343070",recreation_ground,"1479","1","24062",24062 LEUVEN,"7",LEUVEN,0.00472748717505857
"228863842",residential,"1501","1","24062",24062 LEUVEN,"7",LEUVEN,0.00062598248796165
"228863843",residential,"1501","1","24062",24062 LEUVEN,"7",LEUVEN,0.0029926240092963
"235607259",residential,"1501","1","24062",24062 LEUVEN,"7",LEUVEN,0.00361867811793089
"235607260",residential,"1501","1","24062",24062 LEUVEN,"7",LEUVEN,0.00246415896810591
"235607262",residential,"1501","1","24062",24062 LEUVEN,"7",LEUVEN,0.0873473054922726
