osmid,landuse,ZONENUMMER,STGB,NIS_GEM,NIS_GEM_L,VREGIO,VREGIO_L,area_calc
"313717375",residential,"1622","1","31005",31005 BRUGGE,"3",BRUGGE,0.0025803397154808
"313717382",residential,"1622","1","31005",31005 BRUGGE,"3",BRUGGE,0.00449505388171971
"313717394",residential,"1622","1","31005",31005 BRUGGE,"3",BRUGGE,0.00742385426767345
"316122133",residential,"1623","1","31005",31005 BRUGGE,"3",BRUGGE,0.00218587522083521
"316122135",residential,"1623","1","31005",31005 BRUGGE,"3",BRUGGE,0.00259031525912881
"316122137",residential,"1623","1","31005",31005 BRUGGE,"3",BRUGGE,0.00242185884810984
"316122144",residential,"1623","1","31005",31005 BRUGGE,"3",BRUGGE,0.00581033606984653
"317126984",residential,"1622","1","31005",31005 BRUGGE,"3",BRUGGE,0.00341208974685147
"317127015",residential,"1622","1","31005",31005 BRUGGE,"3",BRUGGE,0.00172882295208052
"317130458",residential,"1622","1","31005",31005 BRUGGE,"3",BRUGGE,0.00404467774403095
"317130460",residential,"1622","1","31005",31005 BRUGGE,"3",BRUGGE,0.000977840077348053
"317130461",residential,"1622","1","31005",31005 BRUGGE,"3",BRUGGE,0.0102787522232865
"317332346",residential,"1620","1","31005",31005 BRUGGE,"3",BRUGGE,0.360325220319036
"317332346",residential,"1622","1","31005",31005 BRUGGE,"3",BRUGGE,0.000100824762900826
"317332348",residential,"1622","1","31005",31005 BRUGGE,"3",BRUGGE,0.029090160494186
"317332348",residential,"1624","1","31005",31005 BRUGGE,"3",BRUGGE,0.0427014143003291
"317332349",residential,"1622","1","31005",31005 BRUGGE,"3",BRUGGE,0.00846337933188677
"317511330",residential,"1622","1","31005",31005 BRUGGE,"3",BRUGGE,0.0021932033540681
"317511331",residential,"1622","1","31005",31005 BRUGGE,"3",BRUGGE,0.00356968431685492
"319267290",residential,"1626","1","31005",31005 BRUGGE,"3",BRUGGE,0.00212802543786261
"319536439",residential,"1625","1","31005",31005 BRUGGE,"3",BRUGGE,0.000552063637853134
"319536439",residential,"1630","1","31005",31005 BRUGGE,"3",BRUGGE,0.00336996244612592
