Origin,Destination,Date range: 2021-01-04 - 2021-01-29 Time range: 07:00 - 09:00
Region 19,Region 12,3
Region 19,Region 13,28
Region 19,Region 14,10
Region 19,Region 15,22
Region 19,Region 16,22
Region 19,Region 17,202
Region 19,Region 18,32
Region 19,Region 19,176
Region 19,Region 20,109
Region 19,Region 21,66
Region 19,Region 22,24
Region 19,Region 23,100
Region 19,Region 24,64
Region 19,Region 25,14
Region 19,Region 26,6
Region 19,Region 27,13
Region 19,Region 28,6
Region 19,Region 29,12
Region 19,Region 30,7
Region 19,Region 31,9
Region 19,Region 32,2
Region 19,Region 33,5
Region 19,Region 34,5
Region 19,Region 35,235
Region 19,Region 36,3
Region 19,Region 37,12
Region 19,Region 38,12
Region 19,Region 39,16
Region 19,Region 40,41
Region 19,Region 41,1
Region 19,Region 42,60
Region 19,Region 43,19
Region 19,Region 44,24
Region 20,Region 1,0
Region 20,Region 2,10
Region 20,Region 3,5
Region 20,Region 4,4
Region 20,Region 5,12
Region 20,Region 6,1
Region 20,Region 7,5
Region 20,Region 8,1
Region 20,Region 9,161
Region 20,Region 10,0
Region 20,Region 11,0
Region 20,Region 12,6
Region 20,Region 13,19
Region 20,Region 14,23
Region 20,Region 15,19
Region 20,Region 16,20
Region 20,Region 17,355
Region 20,Region 18,47
Region 20,Region 19,127
Region 20,Region 20,237
Region 20,Region 21,30
Region 20,Region 22,5
Region 20,Region 23,18
Region 20,Region 24,46
Region 20,Region 25,40
Region 20,Region 26,42
Region 20,Region 27,20
Region 20,Region 28,10
Region 20,Region 29,10
Region 20,Region 30,4
Region 20,Region 31,1
Region 20,Region 32,4
Region 20,Region 33,14
Region 20,Region 34,16
Region 20,Region 35,661
Region 20,Region 36,3
Region 20,Region 37,65
Region 20,Region 38,4
Region 20,Region 39,17
Region 20,Region 40,25
Region 20,Region 41,2
Region 20,Region 42,85
Region 20,Region 43,49
Region 20,Region 44,33
Region 21,Region 1,1
Region 21,Region 2,1
Region 21,Region 3,2
Region 21,Region 4,1
Region 21,Region 5,3
Region 21,Region 6,0
Region 21,Region 7,3
Region 21,Region 8,0
Region 21,Region 9,32
Region 21,Region 10,0
Region 21,Region 11,0
Region 21,Region 12,3
Region 21,Region 13,2
Region 21,Region 14,6
Region 21,Region 15,1
Region 21,Region 16,13
Region 21,Region 17,60
Region 21,Region 18,9
Region 21,Region 19,77
Region 21,Region 20,36
Region 21,Region 21,85
Region 21,Region 22,18
Region 21,Region 23,126
Region 21,Region 24,5
Region 21,Region 25,14
Region 21,Region 26,26
Region 21,Region 27,7
Region 21,Region 28,4
Region 21,Region 29,4
Region 21,Region 30,0
Region 21,Region 31,1
Region 21,Region 32,3
Region 21,Region 33,5
Region 21,Region 34,1
Region 21,Region 35,94
Region 21,Region 36,1
Region 21,Region 37,24
Region 21,Region 38,2
Region 21,Region 39,5
Region 21,Region 40,3
Region 21,Region 41,0
Region 21,Region 42,63
Region 21,Region 43,17
Region 21,Region 44,10
Region 22,Region 1,0
Region 22,Region 2,1
Region 22,Region 3,0
Region 22,Region 4,1
Region 22,Region 5,2
Region 22,Region 6,1
Region 22,Region 7,0
Region 22,Region 8,0
Region 22,Region 9,23
Region 22,Region 10,0
Region 22,Region 11,0
Region 22,Region 12,2
Region 22,Region 13,11
Region 22,Region 14,11
Region 22,Region 15,0
Region 22,Region 16,1
Region 22,Region 17,51
