Origin,Destination,Date range: 2021-01-25 - 2021-01-29 Time range: 07:00 - 09:00
Region 17,Region 20,3
Region 17,Region 21,0
Region 17,Region 22,2
Region 17,Region 23,0
Region 17,Region 24,0
Region 17,Region 25,0
Region 17,Region 26,0
Region 17,Region 27,2
Region 17,Region 28,1
Region 17,Region 29,0
Region 17,Region 30,1
Region 17,External,49
Region 18,Region 1,1
Region 18,Region 2,0
Region 18,Region 3,1
Region 18,Region 4,0
Region 18,Region 5,2
Region 18,Region 6,7
Region 18,Region 7,1
Region 18,Region 8,0
Region 18,Region 9,0
Region 18,Region 10,0
Region 18,Region 11,1
Region 18,Region 12,0
Region 18,Region 13,0
Region 18,Region 14,1
Region 18,Region 15,1
Region 18,Region 16,0
Region 18,Region 17,0
Region 18,Region 18,4
Region 18,Region 19,1
Region 18,Region 20,1
Region 18,Region 21,1
Region 18,Region 22,1
Region 18,Region 23,0
Region 18,Region 24,3
Region 18,Region 25,0
Region 18,Region 26,0
Region 18,Region 27,0
Region 18,Region 28,4
Region 18,Region 29,0
Region 18,Region 30,1
Region 18,External,32
Region 19,Region 1,6
Region 19,Region 2,1
Region 19,Region 3,4
Region 19,Region 4,2
Region 19,Region 5,7
Region 19,Region 6,17
Region 19,Region 7,1
Region 19,Region 8,3
Region 19,Region 9,1
Region 19,Region 10,3
Region 19,Region 11,3
Region 19,Region 12,0
Region 19,Region 13,0
Region 19,Region 14,1
Region 19,Region 15,3
Region 19,Region 16,0
Region 19,Region 17,0
Region 19,Region 18,7
Region 19,Region 19,28
Region 19,Region 20,19
Region 19,Region 21,10
Region 19,Region 22,10
Region 19,Region 23,0
Region 19,Region 24,6
Region 19,Region 25,0
Region 19,Region 26,0
Region 19,Region 27,2
Region 19,Region 28,6
Region 19,Region 29,0
Region 19,Region 30,5
Region 19,External,94
Region 20,Region 1,4
Region 20,Region 2,0
Region 20,Region 3,4
Region 20,Region 4,2
Region 20,Region 5,8
Region 20,Region 6,11
Region 20,Region 7,10
Region 20,Region 8,7
Region 20,Region 9,0
Region 20,Region 10,0
Region 20,Region 11,7
Region 20,Region 12,3
Region 20,Region 13,0
Region 20,Region 14,4
Region 20,Region 15,1
Region 20,Region 16,1
Region 20,Region 17,1
Region 20,Region 18,3
Region 20,Region 19,8
Region 20,Region 20,39
Region 20,Region 21,6
Region 20,Region 22,14
Region 20,Region 23,0
Region 20,Region 24,0
Region 20,Region 25,0
Region 20,Region 26,1
Region 20,Region 27,7
Region 20,Region 28,0
Region 20,Region 29,0
Region 20,Region 30,1
Region 20,External,105
Region 21,Region 1,3
Region 21,Region 2,0
Region 21,Region 3,1
Region 21,Region 4,0
Region 21,Region 5,2
Region 21,Region 6,0
Region 21,Region 7,0
Region 21,Region 8,0
Region 21,Region 9,0
Region 21,Region 10,0
Region 21,Region 11,1
Region 21,Region 12,0
Region 21,Region 13,1
Region 21,Region 14,1
Region 21,Region 15,1
Region 21,Region 16,1
Region 21,Region 17,1
Region 21,Region 18,1
Region 21,Region 19,4
Region 21,Region 20,6
Region 21,Region 21,6
Region 21,Region 22,5
Region 21,Region 23,0
Region 21,Region 24,0
Region 21,Region 25,0
Region 21,Region 26,0
Region 21,Region 27,1
Region 21,Region 28,2
Region 21,Region 29,0
Region 21,Region 30,0
Region 21,External,31
Region 22,Region 1,8
Region 22,Region 2,4
Region 22,Region 3,6
Region 22,Region 4,0
Region 22,Region 5,5
Region 22,Region 6,11
Region 22,Region 7,9
Region 22,Region 8,20
Region 22,Region 9,1
Region 22,Region 10,1
Region 22,Region 11,5
Region 22,Region 12,0
Region 22,Region 13,2
Region 22,Region 14,1
Region 22,Region 15,5
Region 22,Region 16,0
Region 22,Region 17,0
Region 22,Region 18,2
Region 22,Region 19,2
Region 22,Region 20,13
Region 22,Region 21,7
Region 22,Region 22,36
Region 22,Region 23,2
Region 22,Region 24,1
Region 22,Region 25,0
Region 22,Region 26,1
Region 22,Region 27,12
Region 22,Region 28,7
Region 22,Region 29,0
Region 22,Region 30,3
Region 22,External,224
Region 23,Region 1,0
Region 23,Region 2,0
Region 23,Region 3,0
Region 23,Region 4,0
Region 23,Region 5,1
Region 23,Region 6,1
Region 23,Region 7,1
Region 23,Region 8,0
Region 23,Region 9,0
Region 23,Region 10,0
Region 23,Region 11,0
Region 23,Region 12,0
Region 23,Region 13,0
Region 23,Region 14,0
Region 23,Region 15,0
Region 23,Region 16,0
Region 23,Region 17,0
Region 23,Region 18,2
Region 23,Region 19,0
Region 23,Region 20,0
Region 23,Region 21,0
Region 23,Region 22,4
Region 23,Region 23,6
Region 23,Region 24,0
Region 23,Region 25,0
Region 23,Region 26,0
Region 23,Region 27,0
Region 23,Region 28,0
Region 23,Region 29,0
Region 23,Region 30,4
Region 23,External,13
Region 24,Region 1,3
Region 24,Region 2,1
Region 24,Region 3,3
Region 24,Region 4,1
Region 24,Region 5,4
Region 24,Region 6,7
Region 24,Region 7,0
Region 24,Region 8,1
Region 24,Region 9,2
Region 24,Region 10,3
Region 24,Region 11,3
Region 24,Region 12,1
Region 24,Region 13,0
Region 24,Region 14,9
Region 24,Region 15,1
Region 24,Region 16,0
Region 24,Region 17,0
Region 24,Region 18,1
Region 24,Region 19,2
Region 24,Region 20,5
Region 24,Region 21,1
Region 24,Region 22,3
Region 24,Region 23,0
Region 24,Region 24,5
Region 24,Region 25,0
Region 24,Region 26,1
Region 24,Region 27,5
Region 24,Region 28,4
Region 24,Region 29,0
Region 24,Region 30,1
Region 24,External,46
Region 25,Region 1,0
Region 25,Region 2,0
Region 25,Region 3,0
Region 25,Region 4,0
Region 25,Region 5,2
Region 25,Region 6,0
Region 25,Region 7,0
Region 25,Region 8,2
Region 25,Region 9,1
Region 25,Region 10,0
Region 25,Region 11,0
Region 25,Region 12,0
Region 25,Region 13,0
Region 25,Region 14,0
Region 25,Region 15,3
Region 25,Region 16,0
Region 25,Region 17,0
Region 25,Region 18,0
Region 25,Region 19,0
Region 25,Region 20,0
Region 25,Region 21,0
Region 25,Region 22,1
Region 25,Region 23,0
Region 25,Region 24,0
Region 25,Region 25,5
Region 25,Region 26,0
Region 25,Region 27,1
Region 25,Region 28,0
Region 25,Region 29,1
Region 25,Region 30,3
Region 25,External,25
Region 26,Region 1,1
Region 26,Region 2,0
Region 26,Region 3,0
Region 26,Region 4,0
Region 26,Region 5,4
Region 26,Region 6,0
Region 26,Region 7,0
Region 26,Region 8,4
Region 26,Region 9,0
Region 26,Region 10,1
Region 26,Region 11,0
Region 26,Region 12,2
Region 26,Region 13,0
Region 26,Region 14,0
Region 26,Region 15,1
Region 26,Region 16,0
Region 26,Region 17,0
Region 26,Region 18,0
Region 26,Region 19,0
Region 26,Region 20,0
Region 26,Region 21,0
Region 26,Region 22,0
Region 26,Region 23,0
Region 26,Region 24,0
Region 26,Region 25,1
Region 26,Region 26,24
Region 26,Region 27,10
Region 26,Region 28,6
Region 26,Region 29,1
Region 26,Region 30,5
Region 26,External,68
Region 27,Region 1,11
Region 27,Region 2,5
Region 27,Region 3,0
Region 27,Region 4,4
Region 27,Region 5,22
Region 27,Region 6,6
Region 27,Region 7,8
Region 27,Region 8,6
Region 27,Region 9,10
Region 27,Region 10,3
Region 27,Region 11,10
Region 27,Region 12,9
Region 27,Region 13,1
Region 27,Region 14,2
Region 27,Region 15,2
Region 27,Region 16,0
Region 27,Region 17,2
Region 27,Region 18,1
Region 27,Region 19,2
Region 27,Region 20,7
Region 27,Region 21,2
Region 27,Region 22,6
Region 27,Region 23,0
Region 27,Region 24,9
Region 27,Region 25,1
Region 27,Region 26,20
Region 27,Region 27,113
Region 27,Region 28,24
Region 27,Region 29,2
Region 27,Region 30,10
Region 27,External,274
Region 28,Region 1,7
Region 28,Region 2,2
Region 28,Region 3,2
Region 28,Region 4,3
Region 28,Region 5,14
Region 28,Region 6,9
