Origin,Destination,Date range: 2021-01-25 - 2021-01-29 Time range: 07:00 - 09:00
Region 24,Region 34,12
Region 24,Region 35,7
Region 25,Region 1,1
Region 25,Region 2,0
Region 25,Region 3,0
Region 25,Region 4,1
Region 25,Region 5,1
Region 25,Region 6,7
Region 25,Region 7,0
Region 25,Region 8,0
Region 25,Region 9,0
Region 25,Region 10,9
Region 25,Region 11,0
Region 25,Region 12,1
Region 25,Region 13,0
Region 25,Region 14,2
Region 25,Region 15,0
Region 25,Region 16,1
Region 25,Region 17,0
Region 25,Region 18,24
Region 25,Region 19,33
Region 25,Region 20,3
Region 25,Region 21,8
Region 25,Region 22,5
Region 25,Region 23,1
Region 25,Region 24,62
Region 25,Region 25,56
Region 25,Region 26,4
Region 25,Region 27,6
Region 25,Region 28,2
Region 25,Region 29,2
Region 25,Region 30,3
Region 25,Region 31,0
Region 25,Region 32,0
Region 25,Region 33,1
Region 25,Region 34,0
Region 25,Region 35,1
Region 26,Region 1,6
Region 26,Region 2,1
Region 26,Region 3,13
Region 26,Region 4,31
Region 26,Region 5,4
Region 26,Region 6,12
Region 26,Region 7,15
Region 26,Region 8,3
Region 26,Region 9,12
Region 26,Region 10,124
Region 26,Region 11,1
Region 26,Region 12,5
Region 26,Region 13,3
Region 26,Region 14,8
Region 26,Region 15,2
Region 26,Region 16,3
Region 26,Region 17,5
Region 26,Region 18,30
Region 26,Region 19,14
Region 26,Region 20,5
Region 26,Region 21,5
Region 26,Region 22,27
Region 26,Region 23,42
Region 26,Region 24,32
Region 26,Region 25,3
Region 26,Region 26,142
Region 26,Region 27,29
Region 26,Region 28,15
Region 26,Region 29,2
Region 26,Region 30,1
Region 26,Region 31,5
Region 26,Region 32,1
Region 26,Region 33,79
Region 26,Region 34,2
Region 26,Region 35,4
Region 27,Region 1,10
Region 27,Region 2,8
Region 27,Region 3,38
Region 27,Region 4,36
Region 27,Region 5,1
Region 27,Region 6,45
Region 27,Region 7,26
Region 27,Region 8,13
Region 27,Region 9,16
Region 27,Region 10,428
Region 27,Region 11,9
Region 27,Region 12,17
Region 27,Region 13,52
Region 27,Region 14,52
Region 27,Region 15,23
Region 27,Region 16,31
Region 27,Region 17,12
Region 27,Region 18,46
Region 27,Region 19,21
Region 27,Region 20,4
Region 27,Region 21,9
Region 27,Region 22,153
Region 27,Region 23,57
Region 27,Region 24,47
Region 27,Region 25,1
Region 27,Region 26,26
Region 27,Region 27,270
Region 27,Region 28,45
Region 27,Region 29,9
Region 27,Region 30,8
Region 27,Region 31,22
Region 27,Region 32,8
Region 27,Region 33,474
Region 27,Region 34,3
Region 27,Region 35,20
Region 28,Region 1,6
Region 28,Region 2,4
Region 28,Region 3,4
Region 28,Region 4,4
Region 28,Region 5,3
Region 28,Region 6,11
Region 28,Region 7,5
Region 28,Region 8,0
Region 28,Region 9,3
Region 28,Region 10,70
Region 28,Region 11,5
Region 28,Region 12,14
Region 28,Region 13,7
Region 28,Region 14,18
Region 28,Region 15,5
Region 28,Region 16,14
Region 28,Region 17,4
Region 28,Region 18,21
Region 28,Region 19,11
Region 28,Region 20,1
Region 28,Region 21,4
Region 28,Region 22,18
Region 28,Region 23,3
Region 28,Region 24,15
Region 28,Region 25,2
Region 28,Region 26,3
Region 28,Region 27,35
Region 28,Region 28,75
Region 28,Region 29,17
Region 28,Region 30,29
Region 28,Region 31,15
Region 28,Region 32,19
Region 28,Region 33,208
Region 28,Region 34,13
Region 28,Region 35,6
Region 29,Region 1,1
Region 29,Region 2,0
Region 29,Region 3,0
Region 29,Region 4,3
Region 29,Region 5,5
Region 29,Region 6,6
Region 29,Region 7,4
Region 29,Region 8,1
Region 29,Region 9,1
Region 29,Region 10,40
Region 29,Region 11,1
Region 29,Region 12,4
Region 29,Region 13,2
Region 29,Region 14,10
Region 29,Region 15,3
Region 29,Region 16,2
Region 29,Region 17,2
Region 29,Region 18,4
Region 29,Region 19,1
Region 29,Region 20,0
Region 29,Region 21,1
Region 29,Region 22,2
Region 29,Region 23,4
Region 29,Region 24,3
Region 29,Region 25,0
Region 29,Region 26,2
Region 29,Region 27,3
Region 29,Region 28,23
Region 29,Region 29,31
Region 29,Region 30,4
Region 29,Region 31,5
Region 29,Region 32,36
Region 29,Region 33,64
Region 29,Region 34,13
Region 29,Region 35,22
Region 30,Region 1,1
Region 30,Region 2,1
Region 30,Region 3,0
Region 30,Region 4,6
Region 30,Region 5,1
Region 30,Region 6,3
Region 30,Region 7,2
Region 30,Region 8,2
Region 30,Region 9,0
Region 30,Region 10,16
Region 30,Region 11,0
