Origin,Destination,Date range: 2021-01-25 - 2021-01-29 Time range: 07:00 - 09:00
Region 26,Region 1,0
Region 26,Region 2,0
Region 26,Region 3,1
Region 26,Region 4,1
Region 26,Region 5,1
Region 26,Region 6,1
Region 26,Region 7,1
Region 26,Region 8,0
Region 26,Region 9,0
Region 26,Region 10,9
Region 26,Region 11,0
Region 26,Region 12,1
Region 26,Region 13,0
Region 26,Region 14,0
Region 26,Region 15,0
Region 26,Region 16,0
Region 26,Region 17,1
Region 26,Region 18,2
Region 26,Region 19,1
Region 26,Region 20,0
Region 26,Region 21,0
Region 26,Region 22,1
Region 26,Region 23,2
Region 26,Region 24,0
Region 26,Region 25,0
Region 26,Region 26,8
Region 26,Region 27,0
Region 26,Region 28,1
Region 26,Region 29,0
Region 26,Region 30,0
Region 26,Region 31,0
Region 26,Region 32,0
Region 26,Region 33,0
Region 26,Region 34,0
Region 26,Region 35,0
Region 26,External,38
Region 27,Region 1,2
Region 27,Region 2,1
Region 27,Region 3,8
Region 27,Region 4,3
Region 27,Region 5,1
Region 27,Region 6,2
Region 27,Region 7,3
Region 27,Region 8,3
Region 27,Region 9,3
Region 27,Region 10,40
Region 27,Region 11,3
Region 27,Region 12,2
Region 27,Region 13,5
Region 27,Region 14,21
Region 27,Region 15,1
Region 27,Region 16,2
Region 27,Region 17,1
Region 27,Region 18,7
Region 27,Region 19,1
Region 27,Region 20,0
Region 27,Region 21,1
Region 27,Region 22,4
Region 27,Region 23,12
Region 27,Region 24,0
Region 27,Region 25,0
Region 27,Region 26,0
Region 27,Region 27,61
Region 27,Region 28,10
Region 27,Region 29,6
Region 27,Region 30,0
Region 27,Region 31,0
Region 27,Region 32,0
Region 27,Region 33,3
Region 27,Region 34,0
Region 27,Region 35,3
Region 27,External,172
Region 28,Region 1,6
Region 28,Region 2,4
Region 28,Region 3,2
Region 28,Region 4,4
Region 28,Region 5,3
Region 28,Region 6,11
Region 28,Region 7,3
Region 28,Region 8,0
Region 28,Region 9,0
Region 28,Region 10,9
Region 28,Region 11,5
Region 28,Region 12,12
Region 28,Region 13,7
Region 28,Region 14,11
Region 28,Region 15,2
Region 28,Region 16,12
Region 28,Region 17,4
Region 28,Region 18,17
Region 28,Region 19,11
Region 28,Region 20,0
Region 28,Region 21,2
Region 28,Region 22,5
Region 28,Region 23,0
Region 28,Region 24,1
Region 28,Region 25,2
Region 28,Region 26,0
Region 28,Region 27,3
Region 28,Region 28,60
Region 28,Region 29,14
Region 28,Region 30,19
Region 28,Region 31,2
Region 28,Region 32,0
Region 28,Region 33,6
Region 28,Region 34,0
Region 28,Region 35,3
Region 28,External,217
Region 29,Region 1,1
Region 29,Region 2,0
Region 29,Region 3,0
Region 29,Region 4,3
Region 29,Region 5,5
Region 29,Region 6,6
Region 29,Region 7,4
Region 29,Region 8,1
Region 29,Region 9,1
Region 29,Region 10,10
Region 29,Region 11,1
Region 29,Region 12,2
Region 29,Region 13,2
Region 29,Region 14,9
Region 29,Region 15,2
Region 29,Region 16,1
Region 29,Region 17,1
Region 29,Region 18,3
Region 29,Region 19,1
Region 29,Region 20,0
Region 29,Region 21,0
Region 29,Region 22,1
Region 29,Region 23,3
Region 29,Region 24,0
Region 29,Region 25,0
Region 29,Region 26,0
Region 29,Region 27,1
Region 29,Region 28,19
Region 29,Region 29,27
Region 29,Region 30,4
Region 29,Region 31,3
Region 29,Region 32,1
Region 29,Region 33,11
Region 29,Region 34,4
Region 29,Region 35,7
Region 29,External,99
Region 30,Region 1,1
Region 30,Region 2,1
Region 30,Region 3,0
Region 30,Region 4,6
Region 30,Region 5,1
Region 30,Region 6,3
Region 30,Region 7,1
Region 30,Region 8,1
Region 30,Region 9,0
Region 30,Region 10,4
Region 30,Region 11,0
Region 30,Region 12,1
Region 30,Region 13,2
Region 30,Region 14,8
Region 30,Region 15,0
Region 30,Region 16,3
Region 30,Region 17,1
Region 30,Region 18,21
Region 30,Region 19,6
Region 30,Region 20,0
Region 30,Region 21,7
Region 30,Region 22,0
Region 30,Region 23,0
Region 30,Region 24,18
Region 30,Region 25,3
Region 30,Region 26,0
Region 30,Region 27,5
Region 30,Region 28,33
Region 30,Region 29,2
Region 30,Region 30,28
Region 30,Region 31,1
Region 30,Region 32,1
Region 30,Region 33,1
Region 30,Region 34,2
Region 30,Region 35,1
Region 30,External,94
Region 31,Region 1,0
Region 31,Region 2,0
Region 31,Region 3,3
Region 31,Region 4,0
Region 31,Region 5,0
Region 31,Region 6,1
Region 31,Region 7,3
Region 31,Region 8,0
Region 31,Region 9,0
Region 31,Region 10,1
Region 31,Region 11,0
Region 31,Region 12,3
Region 31,Region 13,0
Region 31,Region 14,1
Region 31,Region 15,0
Region 31,Region 16,0
Region 31,Region 17,0
Region 31,Region 18,3
Region 31,Region 19,3
Region 31,Region 20,0
Region 31,Region 21,0
Region 31,Region 22,0
Region 31,Region 23,1
Region 31,Region 24,0
Region 31,Region 25,0
Region 31,Region 26,0
Region 31,Region 27,0
Region 31,Region 28,8
Region 31,Region 29,1
Region 31,Region 30,0
Region 31,Region 31,13
Region 31,Region 32,2
Region 31,Region 33,1
Region 31,Region 34,1
Region 31,Region 35,1
Region 31,External,66
Region 32,Region 1,1
Region 32,Region 2,0
Region 32,Region 3,0
Region 32,Region 4,3
Region 32,Region 5,0
Region 32,Region 6,1
Region 32,Region 7,1
Region 32,Region 8,0
Region 32,Region 9,0
Region 32,Region 10,4
Region 32,Region 11,0
Region 32,Region 12,1
Region 32,Region 13,0
Region 32,Region 14,0
Region 32,Region 15,1
Region 32,Region 16,3
Region 32,Region 17,1
Region 32,Region 18,6
Region 32,Region 19,0
Region 32,Region 20,0
Region 32,Region 21,0
Region 32,Region 22,0
Region 32,Region 23,0
Region 32,Region 24,0
Region 32,Region 25,0
Region 32,Region 26,0
Region 32,Region 27,1
Region 32,Region 28,7
Region 32,Region 29,2
Region 32,Region 30,5
Region 32,Region 31,1
Region 32,Region 32,6
Region 32,Region 33,5
Region 32,Region 34,0
Region 32,Region 35,0
Region 32,External,34
Region 33,Region 1,1
Region 33,Region 2,3
Region 33,Region 3,3
Region 33,Region 4,8
Region 33,Region 5,4
Region 33,Region 6,3
Region 33,Region 7,1
