Origin,Destination,Date range: 2021-01-25 - 2021-01-29 Time range: 07:00 - 09:00
Region 19,Region 19,47
Region 19,Region 20,15
Region 19,Region 21,9
Region 19,Region 22,6
Region 19,Region 23,0
Region 19,Region 24,15
Region 19,Region 25,1
Region 19,Region 26,0
Region 19,Region 27,1
Region 19,Region 28,0
Region 19,Region 29,4
Region 19,Region 30,1
Region 19,Region 31,1
Region 19,Region 32,0
Region 19,Region 33,2
Region 19,Region 34,1
Region 19,Region 35,0
Region 19,Region 36,0
Region 19,Region 37,3
Region 19,Region 38,1
Region 19,Region 39,0
Region 19,Region 40,2
Region 19,Region 41,0
Region 19,Region 42,1
Region 19,Region 43,0
Region 19,Region 44,3
Region 19,External,120
Region 20,Region 1,0
Region 20,Region 2,1
Region 20,Region 3,0
Region 20,Region 4,1
Region 20,Region 5,1
Region 20,Region 6,0
Region 20,Region 7,0
Region 20,Region 8,0
Region 20,Region 9,4
Region 20,Region 10,0
Region 20,Region 11,0
Region 20,Region 12,2
Region 20,Region 13,5
Region 20,Region 14,0
Region 20,Region 15,1
Region 20,Region 16,4
Region 20,Region 17,8
Region 20,Region 18,6
Region 20,Region 19,19
Region 20,Region 20,35
Region 20,Region 21,6
Region 20,Region 22,1
Region 20,Region 23,0
Region 20,Region 24,8
Region 20,Region 25,5
Region 20,Region 26,3
Region 20,Region 27,4
Region 20,Region 28,0
Region 20,Region 29,0
Region 20,Region 30,2
Region 20,Region 31,1
Region 20,Region 32,0
Region 20,Region 33,3
Region 20,Region 34,1
Region 20,Region 35,0
Region 20,Region 36,0
Region 20,Region 37,11
Region 20,Region 38,0
Region 20,Region 39,1
Region 20,Region 40,2
Region 20,Region 41,0
Region 20,Region 42,4
Region 20,Region 43,1
Region 20,Region 44,0
Region 20,External,151
Region 21,Region 1,0
Region 21,Region 2,0
Region 21,Region 3,0
Region 21,Region 4,0
Region 21,Region 5,0
Region 21,Region 6,0
Region 21,Region 7,0
Region 21,Region 8,0
Region 21,Region 9,3
Region 21,Region 10,0
Region 21,Region 11,0
Region 21,Region 12,0
Region 21,Region 13,0
Region 21,Region 14,4
Region 21,Region 15,0
Region 21,Region 16,2
Region 21,Region 17,4
Region 21,Region 18,0
Region 21,Region 19,16
Region 21,Region 20,9
Region 21,Region 21,20
Region 21,Region 22,3
Region 21,Region 23,5
Region 21,Region 24,1
Region 21,Region 25,1
Region 21,Region 26,0
Region 21,Region 27,1
Region 21,Region 28,0
Region 21,Region 29,0
Region 21,Region 30,0
Region 21,Region 31,0
Region 21,Region 32,0
Region 21,Region 33,0
Region 21,Region 34,1
Region 21,Region 35,0
Region 21,Region 36,0
Region 21,Region 37,6
Region 21,Region 38,1
Region 21,Region 39,0
Region 21,Region 40,0
Region 21,Region 41,0
Region 21,Region 42,5
Region 21,Region 43,0
Region 21,Region 44,1
Region 21,External,75
Region 22,Region 1,0
Region 22,Region 2,0
Region 22,Region 3,0
Region 22,Region 4,0
Region 22,Region 5,0
Region 22,Region 6,0
Region 22,Region 7,0
Region 22,Region 8,0
Region 22,Region 9,4
Region 22,Region 10,0
Region 22,Region 11,0
Region 22,Region 12,0
Region 22,Region 13,2
Region 22,Region 14,2
Region 22,Region 15,0
Region 22,Region 16,0
Region 22,Region 17,1
