Origin,Destination,Date range: 2021-01-25 - 2021-01-31 Time range: 00:00 - 00:00
Region 15,Region 4,12
Region 15,Region 5,8
Region 15,Region 6,1
Region 15,Region 7,6
Region 15,Region 8,2
Region 15,Region 9,48
Region 15,Region 10,1
Region 15,Region 11,2
Region 15,Region 12,7
Region 15,Region 13,23
Region 15,Region 14,30
Region 15,Region 15,47
Region 15,Region 16,12
Region 15,Region 17,205
Region 15,Region 18,23
Region 15,Region 19,17
Region 15,Region 20,21
Region 15,Region 21,10
Region 15,Region 22,6
Region 15,Region 23,19
Region 15,Region 24,15
Region 15,Region 25,3
Region 15,Region 26,3
Region 15,Region 27,31
Region 15,Region 28,11
Region 15,Region 29,16
Region 15,Region 30,14
Region 15,Region 31,1
Region 15,Region 32,15
Region 15,Region 33,8
Region 15,Region 34,10
Region 15,Region 35,94
Region 15,Region 36,18
Region 15,Region 37,6
Region 15,Region 38,30
Region 15,Region 39,49
Region 15,Region 40,21
Region 15,Region 41,1
Region 15,Region 42,23
Region 15,Region 43,3
Region 15,Region 44,11
Region 16,Region 1,16
Region 16,Region 2,69
Region 16,Region 3,6
Region 16,Region 4,25
Region 16,Region 5,10
Region 16,Region 6,3
Region 16,Region 7,9
Region 16,Region 8,4
Region 16,Region 9,127
Region 16,Region 10,1
Region 16,Region 11,2
Region 16,Region 12,14
Region 16,Region 13,31
Region 16,Region 14,14
Region 16,Region 15,46
Region 16,Region 16,12
Region 16,Region 17,240
Region 16,Region 18,29
Region 16,Region 19,26
Region 16,Region 20,60
Region 16,Region 21,7
Region 16,Region 22,7
Region 16,Region 23,35
Region 16,Region 24,15
Region 16,Region 25,7
Region 16,Region 26,2
Region 16,Region 27,34
Region 16,Region 28,12
Region 16,Region 29,12
Region 16,Region 30,13
Region 16,Region 31,3
Region 16,Region 32,10
Region 16,Region 33,5
Region 16,Region 34,10
Region 16,Region 35,220
Region 16,Region 36,18
Region 16,Region 37,10
Region 16,Region 38,9
Region 16,Region 39,34
Region 16,Region 40,23
Region 16,Region 41,1
Region 16,Region 42,45
Region 16,Region 43,7
Region 16,Region 44,14
Region 17,Region 1,44
Region 17,Region 2,390
Region 17,Region 3,153
Region 17,Region 4,248
Region 17,Region 5,363
Region 17,Region 6,67
Region 17,Region 7,120
Region 17,Region 8,116
Region 17,Region 9,2678
Region 17,Region 10,50
Region 17,Region 11,34
Region 17,Region 12,293
Region 17,Region 13,384
Region 17,Region 14,208
Region 17,Region 15,477
Region 17,Region 16,314
Region 17,Region 17,12168
Region 17,Region 18,984
Region 17,Region 19,597
Region 17,Region 20,969
Region 17,Region 21,112
Region 17,Region 22,98
Region 17,Region 23,163
Region 17,Region 24,414
Region 17,Region 25,153
Region 17,Region 26,64
Region 17,Region 27,368
Region 17,Region 28,196
Region 17,Region 29,257
Region 17,Region 30,182
Region 17,Region 31,71
