Origin,Destination,Date range: 2021-01-18 - 2021-01-22 Time range: 07:00 - 09:00
Region 22,Region 28,2
Region 22,Region 29,3
Region 22,Region 30,0
Region 22,Region 31,0
Region 22,Region 32,0
Region 22,Region 33,1
Region 22,Region 34,0
Region 22,Region 35,47
Region 22,Region 36,1
Region 22,Region 37,0
Region 22,Region 38,0
Region 22,Region 39,2
Region 22,Region 40,6
Region 22,Region 41,0
Region 22,Region 42,13
Region 22,Region 43,8
Region 22,Region 44,2
Region 23,Region 1,2
Region 23,Region 2,6
Region 23,Region 3,6
Region 23,Region 4,0
Region 23,Region 5,2
Region 23,Region 6,3
Region 23,Region 7,0
Region 23,Region 8,0
Region 23,Region 9,39
Region 23,Region 10,1
Region 23,Region 11,0
Region 23,Region 12,9
Region 23,Region 13,20
Region 23,Region 14,8
Region 23,Region 15,3
Region 23,Region 16,8
Region 23,Region 17,14
Region 23,Region 18,6
Region 23,Region 19,58
Region 23,Region 20,27
Region 23,Region 21,59
Region 23,Region 22,44
Region 23,Region 23,125
Region 23,Region 24,46
Region 23,Region 25,2
Region 23,Region 26,1
Region 23,Region 27,6
Region 23,Region 28,2
Region 23,Region 29,11
Region 23,Region 30,0
Region 23,Region 31,3
Region 23,Region 32,1
Region 23,Region 33,3
Region 23,Region 34,3
Region 23,Region 35,49
Region 23,Region 36,3
Region 23,Region 37,16
Region 23,Region 38,4
Region 23,Region 39,4
Region 23,Region 40,10
Region 23,Region 41,0
Region 23,Region 42,14
Region 23,Region 43,3
Region 23,Region 44,2
Region 24,Region 1,0
Region 24,Region 2,1
Region 24,Region 3,3
Region 24,Region 4,2
Region 24,Region 5,0
Region 24,Region 6,0
Region 24,Region 7,0
Region 24,Region 8,0
Region 24,Region 9,15
Region 24,Region 10,2
Region 24,Region 11,4
Region 24,Region 12,10
Region 24,Region 13,6
Region 24,Region 14,4
Region 24,Region 15,2
Region 24,Region 16,1
Region 24,Region 17,45
Region 24,Region 18,1
Region 24,Region 19,11
Region 24,Region 20,4
Region 24,Region 21,0
Region 24,Region 22,4
Region 24,Region 23,10
Region 24,Region 24,20
Region 24,Region 25,0
Region 24,Region 26,0
Region 24,Region 27,5
Region 24,Region 28,2
Region 24,Region 29,10
Region 24,Region 30,1
Region 24,Region 31,2
Region 24,Region 32,0
Region 24,Region 33,1
Region 24,Region 34,1
Region 24,Region 35,55
Region 24,Region 36,1
Region 24,Region 37,8
Region 24,Region 38,3
Region 24,Region 39,7
Region 24,Region 40,26
Region 24,Region 41,2
Region 24,Region 42,18
Region 24,Region 43,11
Region 24,Region 44,3
Region 25,Region 1,0
Region 25,Region 2,3
Region 25,Region 3,0
Region 25,Region 4,0
Region 25,Region 5,1
Region 25,Region 6,0
Region 25,Region 7,0
Region 25,Region 8,0
Region 25,Region 9,18
Region 25,Region 10,0
Region 25,Region 11,0
Region 25,Region 12,1
Region 25,Region 13,0
Region 25,Region 14,0
Region 25,Region 15,2
Region 25,Region 16,1
Region 25,Region 17,29
Region 25,Region 18,4
Region 25,Region 19,4
Region 25,Region 20,20
Region 25,Region 21,4
Region 25,Region 22,1
Region 25,Region 23,1
Region 25,Region 24,0
Region 25,Region 25,61
Region 25,Region 26,3
Region 25,Region 27,1
Region 25,Region 28,0
Region 25,Region 29,0
Region 25,Region 30,1
Region 25,Region 31,1
Region 25,Region 32,0
Region 25,Region 33,1
Region 25,Region 34,1
Region 25,Region 35,37
Region 25,Region 36,0
Region 25,Region 37,6
Region 25,Region 38,2
Region 25,Region 39,0
Region 25,Region 40,1
Region 25,Region 41,0
Region 25,Region 42,1
Region 25,Region 43,1
Region 25,Region 44,0
Region 26,Region 1,0
Region 26,Region 2,0
Region 26,Region 3,0
Region 26,Region 4,0
Region 26,Region 5,2
Region 26,Region 6,1
Region 26,Region 7,0
Region 26,Region 8,4
Region 26,Region 9,23
Region 26,Region 10,0
Region 26,Region 11,1
Region 26,Region 12,1
Region 26,Region 13,6
Region 26,Region 14,1
Region 26,Region 15,3
Region 26,Region 16,6
Region 26,Region 17,15
Region 26,Region 18,4
Region 26,Region 19,22
Region 26,Region 20,26
Region 26,Region 21,29
Region 26,Region 22,1
Region 26,Region 23,4
Region 26,Region 24,3
Region 26,Region 25,7
Region 26,Region 26,23
Region 26,Region 27,1
Region 26,Region 28,2
Region 26,Region 29,1
Region 26,Region 30,0
Region 26,Region 31,0
Region 26,Region 32,0
Region 26,Region 33,1
Region 26,Region 34,1
Region 26,Region 35,51
Region 26,Region 36,1
Region 26,Region 37,6
Region 26,Region 38,0
Region 26,Region 39,0
Region 26,Region 40,1
Region 26,Region 41,0
Region 26,Region 42,4
Region 26,Region 43,0
Region 26,Region 44,2
Region 27,Region 1,0
Region 27,Region 2,2
Region 27,Region 3,6
Region 27,Region 4,0
Region 27,Region 5,0
Region 27,Region 6,1
Region 27,Region 7,0
