,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
24,0.2,0.0,0.0,0.2,0.0,0.6,0.0,0.0,0.0,0.6,0.0,0.2,0.0,0.2,0.0,0.2,0.0,4.4,0.4,0.0,0.0,0.6,0.2,2.2,0.0,0.0,0.0,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,1.8,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.4,0.2,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.4,0.2,1.6,0.6,0.2,0.4,0.6,0.6,0.6,8.0,0.6,0.4,1.0,4.2,0.2,0.4,0.2,1.4,0.2,0.0,0.2,0.8,2.4,0.0,0.0,0.0,0.0,2.0,1.2,0.0,0.0,0.0,0.6,0.0,0.6
27,1.2,0.8,0.4,0.8,0.6,2.2,0.6,0.0,0.0,1.8,1.0,2.4,1.4,2.2,0.4,2.4,0.8,3.4,2.2,0.0,0.4,1.0,0.0,0.2,0.4,0.0,0.6,0.0,2.8,3.8,0.4,0.0,1.2,0.0,0.6
28,0.2,0.0,0.0,0.6,1.0,1.2,0.8,0.2,0.2,2.0,0.2,0.4,0.4,1.8,0.4,0.2,0.2,0.6,0.2,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.2,3.8,0.0,0.8,0.6,0.2,2.2,0.8,1.4
29,0.2,0.2,0.0,1.2,0.2,0.6,0.2,0.2,0.0,0.8,0.0,0.2,0.4,1.6,0.0,0.6,0.2,4.2,1.2,0.0,1.4,0.0,0.0,3.6,0.6,0.0,1.0,6.6,0.4,0.0,0.2,0.2,0.2,0.4,0.2
30,0.0,0.0,0.6,0.0,0.0,0.2,0.6,0.0,0.0,0.2,0.0,0.6,0.0,0.2,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.6,0.2,0.0,0.0,0.4,0.2,0.2,0.2
31,0.2,0.0,0.0,0.6,0.0,0.2,0.2,0.0,0.0,0.8,0.0,0.2,0.0,0.0,0.2,0.6,0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.4,0.4,1.0,0.2,0.0,1.0,0.0,0.0
32,0.2,0.6,0.6,1.6,0.8,0.6,0.2,0.4,0.0,0.8,0.2,0.4,0.0,1.4,0.8,0.4,0.2,1.4,0.4,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.6,3.8,2.2,0.0,0.6,0.0,0.0,4.2,1.0
33,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.8,0.4,0.0,0.0,0.2,1.4,0.0,0.8
34,0.6,0.0,1.2,1.4,0.4,0.6,1.6,0.2,0.0,1.8,1.8,1.0,0.8,0.8,0.6,0.6,0.0,0.8,1.0,0.0,0.0,0.6,0.0,0.2,0.2,0.2,1.0,0.4,1.4,0.2,0.0,0.0,1.4,0.4,0.0
